"pa","Xkm","Ykm","logrec","fyear","year","fmonth","dep","gra","tem.fal","sal.fal"
0,1918.12776942045,4816.01721941556,0,"2015",2015,"12",2.02410116264174,0.831992375655392,0.0621168215372022,1.08418553460707
1,1764.96515621604,5001.54272454292,9.61317121919295,"2015",2015,"11",-0.859233141023534,0.474252971058945,-0.265602117834716,-1.47414021679408
1,1765.58545113589,5030.80043537403,6.15239928328594,"2015",2015,"11",-1.11575754178179,-0.408579216314014,-2.41422100023489,-1.49666683607946
1,1790.37141851545,5041.93327929875,3.34450384890553,"2015",2015,"11",-0.607839247851704,0.595080814723078,-0.124303417489056,-0.40354687614835
1,1787.06355319216,4979.20081746387,8.65976478695692,"2015",2015,"11",-0.556534367700053,1.24125307221403,0.524418384211107,0.386873863768765
1,1781.72781042451,4941.36311579422,6.89312305238092,"2015",2015,"11",-0.179443479014165,1.04027301622849,0.703808564259972,0.231546960026263
1,1790.33611396263,4884.6645205728,4.70417828468088,"2015",2015,"12",-1.16706242193344,0.0613250308753756,-1.88058143544821,-2.46125081374391
0,1885.25497842556,4835.84613921282,0,"2015",2015,"11",-0.292314205562165,0.623775993574472,0.916339485124848,0.147699257542228
0,1776.95383666873,5005.20755270754,0,"2015",2015,"11",-0.320531899431204,-0.917929760089534,-0.28071878557685,0.240318876325024
0,1908.28389960302,4778.8470336954,0,"2015",2015,"12",-0.338488578127393,0.934765227014335,0.437855481774928,0.103133887903561
0,1818.81589006739,5027.99963397867,0,"2015",2015,"11",-0.0127026185213007,-0.538308057105332,-0.52655046420653,0.524259894433162
0,1862.14588690036,4943.83988767735,0,"2015",2015,"11",0.659391331036578,-2.12042479233659,0.249244338845897,1.0278620429339
0,1817.59050324261,4905.98122672277,0,"2015",2015,"11",0.82100168394302,-0.654906595322903,0.554916658649855,0.846813274224856
1,1771.18949180901,5031.50307802331,7.0230523713376,"2015",2015,"11",-0.784841050125196,-0.170639632935573,-1.41550794547783,-1.13289163517916
0,1805.06819470891,5026.96668828968,0,"2015",2015,"11",-0.161486800317976,-0.874176377502245,-0.585338528283961,0.468251530409499
0,1793.58300377007,4998.23625561784,0,"2015",2015,"11",-0.105051412579903,-0.903826736580822,-0.537912097364808,0.51433233740867
0,1834.36640488546,4995.53379200445,0,"2015",2015,"11",0.305387677561452,-1.99808830105709,0.123428955363709,0.705271010323039
0,1799.2722024251,4955.9729396332,0,"2015",2015,"11",0.14377732465501,0.657978448927654,0.167712674549725,0.716589758584309
0,1804.82787237689,5019.1975588917,0,"2015",2015,"11",-0.09222519254199,-0.589643118155277,-0.594463379935097,0.532787508189838
0,1855.79435229836,4955.96709710562,0,"2015",2015,"11",0.549085858281792,-2.07620589767467,0.485982116799666,1.0160325686707
1,1791.07138418705,4930.23747481541,5.10642448513294,"2015",2015,"11",0.0411674664954126,0.942941564284559,0.839525634605652,0.525975428853723
1,1797.56704935081,4928.80626763779,3.34450384890553,"2015",2015,"11",0.233560767064102,0.786555979988459,0.699308342402346,0.66800393488231
1,1788.80933789004,4899.9188614647,7.24113120913294,"2015",2015,"12",-0.851537404107973,0.858196442851454,0.949014584809117,-1.00602764529679
1,1780.92224270345,4895.2549292816,5.79673401049175,"2015",2015,"12",-1.11319228798857,-0.42149137850966,-1.71672381271466,-2.72623450533412
1,1801.22319115398,4888.23264657362,7.01089142314491,"2015",2015,"12",-0.846406920985621,0.758878588831821,0.476798929326415,-1.20309426681693
